Index,LENGUA_Y,LENGUA_Y2,AUTOR_APELLIDO,AUTOR_NOMBRE,AUTORES2,SEXO,AÑO,MS,TITULO,DATOS_B,IDIOMA,PAIS,ACCESO,N1,N2,BASE
282,Walapai,,Winter,Werner,,H,1976,,Robber's Roost-a Walapai tale,"Yuman Texts, ed. by Margaret Langdon 61-67 (IJAL-NATS 1.3). Chicago: University of Chicago Press.",Inglés,USA,Si,documentación,n,Langdon
283,Havasupai,,Hinton,Leanne,,M,1977,,Havasupai song: A linguistic perspective,UCSD dissertation,Inglés,USA,No,documentación,n,Langdon
284,Pa ipai,,Mixco,Mauricio J.,,H,1977,,Textos para la ethnohistoria en la frontera dominicana de Baja California,Tlalocan 7.207-229,Español,México,Si,documentación,n,Langdon
285,Kiliwa,,Mixco,Mauricio J.,,H,1977,,The linguistic response of Kiliwa to Hispanic culture,Proceedings of the Third Annual Meeting of the Berkeley Linguistic Society 24-37.,Inglés,USA,No,documentación,n,Langdon
286,Maricopa,,Munro,Pamela,,M,1977,,"Maricopa field notes [Pollyanna Heath, consultant].",n,Inglés,USA,No,documentación,n,Langdon
287,Hualapai,,Yamamoto,Akira,,H,1977,,Proto lost? A writing system and a language change,"Papers from the 1975 Mid-America Linguistics Conference, ed. by Frances Ingemann 463-468. Lawrence: University of Kansas. [Data from Hualapai.]",Inglés,USA,No,documentación,n,Langdon
288,Pa ipai,,Meigs,III,,H,1977,,"Notes on the Paipai of San Isidoro, Baja California",PCASQ 13(1):11-20. ,Inglés,USA,Si,documentación,n,propio
289,Kiliwa,,Ochurte,Rufino,Mauricio J. Mixco,H,1977,,The god-child's vengeance: a Kiliwa story from Baja California,Alcheringa 3:55-62.,Español,México,No,documentación,n,bajacalifology
290,Diegueño,,Hinton,Leanne,,M,1978,,Coyote baptizes the chickens (La Huerta Dieguefio).,"Coyote stories, ed. by William Bright 117-120 (DAL-NATS, Monograph 1). Chicago: University of Chicago Press.",Inglés,USA,No,documentación,n,Langdon
291,Yavapai,,Kendall,Martha B.,,M,1978,,Five coyote anecdotes,"Coyote stories, ed. by William Bright 155-161 (DAL-NATS, MonographI). Chicago: University of Chicago Press.",Inglés,USA,Si,documentación,n,Langdon
292,Cocopa,,Langdon,Margaret,,M,1978,,Animal talk in Cocopa,International Journal of American Linguistics 44.10-16.,Inglés,USA,Si,documentación,n,Langdon
293,Mojave,,Munro,Pamela,,M,1978,,Molly Fasthorse's story of the great wrestling match,"[Tolkapaya Yavapai] Coyote Stories, ed. by William Bright 149-154 (IJAL-NATS Monograph 1). Chicago: University of Chicago Press.",Inglés,USA,No,documentación,n,Langdon
294,Yumanas,,Wares,Alan C.,,H,1978,,"Field notes on the Cocopa, Kiliwa, Maricopa, Paipai, Tipai, and Walapai languages [Microfiche]. Dallas: Summer Institute of Linguistics.",n,Inglés,USA,No,documentación,n,Langdon
295,Kiliwa,,Ochoa Zazueta,Jesús Angel,,H,1978,,Esta es la escritura kiliwa.,UABC Colección Paisano 4. Mexicali.,Español,México,Si,documentación,n,bajacalifology
296,Yavapai,,Kendall,Martha B.,,M,1979,,Wolf and coyote: An Upland Yuman texL,Amerindia 4.127-147,Inglés,USA,No,documentación,n,Langdon
297,Yavapai,,Kendall,Martha B.,,M,1980,,Coyote marries his daughter (Yavpe).,Coyote Stories Il. ed. by Martha Kendall 129-133 (UAL-NATSMonograph 6). Chicago: University of Chicago Press.,Inglés,USA,No,documentación,n,Langdon
298,Yavapai,,Kendall,Martha B.,,M,1980,,From myth to history: The word for old woman in northeastern Yavapai.,International Journal of American Linguistics 46.224-227.,Inglés,USA,Si,documentación,n,Langdon
299,Yumanas,,Kendall,Martha B.,,M,1980,,Coyote Stories Il.,IJAL-NATS Monograph 6. Chicago: University of Chicago Press.,Inglés,USA,No,documentación,n,Langdon
300,Yavapai,,Munro,Pamela,,M,1980,,"Yavapai field notes [Winona Durant, consultant].",n,Inglés,USA,No,documentación,n,Langdon
301,Hualapai,,Powskey,Malinda,"Lucille J. Watahomigie, and Akira Y. Yamamoto",M,1980,,Language use: Explorations in language and meaning.,"Proceedings of the 1979 Hokan languages workshop, ed. by James E. Redden 60-67. (Occasional Papers on Linguistics 7). Department of Linguistics: Southern Illinois University Carbondale. [Hualapai data).",Inglés,USA,Si,documentación,n,Langdon
302,Kiliwa,,Mixco,Mauricio J.,,H,1983,,"Kiliwa Texts: ""When I Have Donned My Crest of Stars"",","University of Utah Press, Utah, 1983, 305 pp. Etnolingüística. Lenguas Mexicanas: Kiliwa.",Inglés,USA,No,documentación,n,lingmex
303,Yuma,,Halpern,A. M.,,H,1984,,The Quechan,Spirit mountain. Ed. By Leanne Hinton and Lucille J. Watahomigie 291-344. Suntracks 10. Tucson: University of Arizona Press.,Inglés,USA,Si,documentación,n,Langdon
304,Diegueño,,Hinton,Leanne,Margaret Langdon,M,1984,,Diegueño literature,"Spirit mountain: An anthology of Yuman story and song, ed. by Leanne Hinton and Lucille Watahomigie 225-251 (Suntracks 101). Tucson: University of Arizona Press.",Inglés,USA,Si,documentación,n,Langdon
305,Yumanas,,Hinton,Leanne,Lucille Watahomigie,M,1984,,Spirit Mountain: An anthology of Yuman story and song.,Suntracks JO. Tucson: University of Arizona Press.,Inglés,USA,No,documentación,n,Langdon
306,Yavapai,,Shaterian,Alana,,H,1984,,Northeastern Yavapai texts.,"Spirit mountain. An anthology of Yuman story and song, ed. by Leanne Hinton and Lucille Watahomigie 173-181. Tucson: University of Arizona Press.",Inglés,USA,Si,documentación,n,Langdon
307,Yavapai,,Shaterian,Alana,"Pamela Munro, and Martha B. Kendall (eds.)",H,1984,,Yavapai literature,"Spirit mountain: An anthology of Yuman story and song, ed. by Leanne Hinton and Lucille Watahomigie 163-190. Tucson: University of Arizona Press.",Inglés,USA,Si,documentación,n,Langdon
308,Pa ipai,,Mixco,Mauricio J.,,H,1985,,"Versión de la ""Guerra de Venganza"": Texto mitológico de la Baja California indígena",Tlalocan 11.,Español,México,Si,documentación,n,Langdon
309,Kiliwa,,Mixco,Mauricio J.,Rufino Ochurte,H,1985,,Textos aborígenes en la lengua kiliwa,Tlalocan 10:339-362,Español,México,Si,documentación,n,bajacalifology
310,Pa ipai,,Mixco,Mauricio J.,,H,1985,,Etnohistoria pai pai en la Baja California.,"Meyibó, Revista del Centro de Investigaciones Históricas. UN-UABC: Baja California, Mexico",Español,México,No,documentación,n,Langdon
311,Pa ipai,,Mixco,Mauricio J.,,H,1985,,Paipai Literature,"Spirit Mountain: An anthology of Yuman story and song, ed. by Leanne Hinton and Lucille Watahomigie 191-223. (Suntracks 10). Tucson: U. of Arizona Press.",Inglés,USA,No,documentación,n,Langdon
312,Cochimi,,León Portilla,Miguel,,H,1985,,"Ejemplos de lengua califórnica, cochimí —reunidos por Franz B.Ducrues (1778-1779)—","Tlalocan. Revista de Fuentes para el Conocimiento de las Culturas Indígenas de México, 1985, núm. 10, 363-374. Lingüística Histórica y Lexicología y Lexicografía. Lenguas Mexicanas: Cochimí.",Español,México,Si,documentación,n,lingmex
313,Yumanas,,Hinton,Leanne,,M,1988,,Song: overcoming the language barrier,News from Native California 2.5.3-4,Inglés,USA,No,documentación,n,Langdon
314,Pa ipai,,Cortés Rodríguez,Edna Alicia,,M,1988,,Estudio etnobotánico comparativo de los grupos indígenas kamiai y paipai del norte de Baja California. ,"Thesis, UABC, Ensenada. [palabras en pa ipai]",Español,México,Si,documentación,n,propio
315,Yumanas,,Hinton,Leanne,,M,1994,,Flutes of Fire: Essays on California Indian languages.,"Berkeley, CA: Heyday Books.",Inglés,USA,No,documentación,n,Langdon
316,Diegueño,,Langdon,Margaret,Dell Hymes,M,1994,ms,Mesa Grande Iipay oratory and narrative,n,Inglés,USA,No,documentación,n,Langdon
317,Pa ipai,,Cortés Rodríguez,Edna Alicia,,M,1994,,"Análisis del conocimiento tradicional de la flora medicinal de la comunidad indígena de Santa Catarina, B.C. México","Thesis, UABC, Ensenada [palabras de plantas en pa ipai]",Español,México,Si,documentación,n,propio
318,Pa ipai,,Peralta González,Benito,,H,1994,,Relatos Pai pai. Kurit' trab pai pai.,Lenguas de México 1. CONACULTA: México.,Español,México,Si,documentación,n,propio
319,Yuma,,Halpern,A. M.,,H,1995,ms,Kar?úk: Native accounts of the Quechan mourning ceremony,Ed. By Amy Miller and Margaret Langdon,Inglés,USA,No,documentación,n,Langdon
320,Pa ipai,,Mixco,Mauricio J.,,H,1997,,Ethnohistoria pa'ipai en la Baja California,Tlalocan 12,Español,México,Si,documentación,n,propio
321,Pa ipai,,Joël,Judith,,M,1998,,Another look at the Paipai-Arizona Pai divergence,"Studies in American Indian Languages: Description and Theory, edited by Leanne Hinton and Pamela Munro, pp. 32-40. University of California Publications in Linguistics 131. Berkeley.",Inglés,USA,Si,documentación,n,bajacalifology
322,Pa ipai,,Panich,Lee M.,,H,2009,,Ethnolinguistic diversity and changes in social organization at Mission Santa Catalina. ,"Paper presented at SCA Annual Meeting, Modesto, California.",Inglés,USA,No,documentación,n,propio
323,Yumanas,,Ibáñez Bravo,María Elena,,M,2010,ms,Documentación de lenguas de la familia lingüística yumana-cochimí. ,"Paper presented at the XI Encuentro Binacional: Balances y Perspectivas, Ensenada.",Español,México,No,documentación,n,bajacalifology
324,Diegueño,,Leyva González,Ana Daniela,,M,2011,ms,Ill kuajan kwatay mat nam: el viaje de los árboles sagrados.,"Paper presented at the XII Encuentro Binacional: Balances y Perspectivas, Mexicali.",Español,México,No,documentación,n,bajacalifology
325,Kumeyaay,,Wilken-Robertson,Michael,,H,2012,,An ethnobotany of Baja California's Kumeyaay Indians.,"Thesis, San Diego State University [vocabulario en kumeyaay de plantas, varias citas]",Inglés,USA,Si,documentación,n,bajacalifology
326,Pa ipai,,Martínez,Nina,"Ana Uribe, Manuel Alejandro Sánchez Fernández",M,2013,,Decir el tiempo. Orientaciones temporales a través de la lengua Pai pai,Memorias del XI Congreso Español de Sociología. Crisis y cambio: propuestas desde la sociología.,Español,España,Si,documentación,n,propio
327,Pa ipai,,Cortés Rodríguez,Edna Alicia,,M,2013,,"Conocimiento tradicional herbolario pa ipai y perspectiva de desarrollo local en Santa Catarina, B.C.","Thesis, UABC, Mexicali [palabras de plantas en pa ipai]",Español,México,Si,documentación,n,propio
328,Cochimi,,García Zúñiga,H. Antonio,Martha E. Alfaro Castro,H,2013,,Fuentes coloniales para el conocimiento de las lenguas cochimí-yumanas: un enfoque interdisciplinario,"California Archaeology. The SCA Journal, 2013, núm. 27, 102-116. Historiografía Lingüística y Lingüística Aplicada. Lenguas Mexicanas: Cochimí y Lenguas Amerindias: Yumanas.",Español,México,No,documentación,n,lingmex
329,Kumiay,,Leyva González,Ana Daniela,,M,2014,,Documentando una lengua: el caso kumiai,"Revista Digital Universitaria, 15 (2014), núm. 2. Documentación Lingüística. Lenguas Amerindias: Kumiai (K'miai).",Español,México,Si,documentación,n,lingmex
330,Pa ipai,,González,Armandina,"Noboru Takeuchi, Manuel Alejandro Sánchez Fernández, Nina Martínez",M,2016,,Números y cielo paipai chribchu eemya paipái,"UNAM, Mexico City",Español,México,Si,documentación,n,bajacalifology
331,Cochimi,,Abán Góngora,Pablo Roberto,Leticia Armijo,H,2016,,Desde donde late la tierra... Canciones en lenguas indígenas de México. El cancionero de Yolotli,,Español,México,No,documentación,n,lingmex
332,Pa ipai,,González,Armandina,Manuel Alejandro Sánchez Fernández,M,2018,,Tñur 1. Lecciones Paipai.  ,Centro de Nanociencias y Nanotecnología. UNAM: México. ,Español,México,Si,documentación,n,propio
333,Kumiay,,Carrillo Vega,Tacho,,M,2019,,Kanap Jatpa Jmok. Tres historias de un coyote. Three coyote stories,Investigación y textos de Raquel Acosta / Coordinador: José A. Flores Farfán. Linguapax. CONACYT.,Español,México,Si,documentación,n,propio
334,Pa ipai,,González,Ivette Selene,,M,2020,,Propuesta metodológica para la documentación lingüística de la lengua paipai,n,Español,México,Si,documentación,n,propio
335,Yuma,,Halpern,A. M.,,H,nd,ms,Yuma notebooks; also other Yuma field materias of Halpern,"[In Yuman Archives, Department of Linguistics, UCSD]",Inglés,USA,No,documentación,n,Langdon
336,Yumanas,,Hinton,Leanne,,M,nd,ms,"A history of orthography in Yuman linguistics, with special reference to Northern Pai",n,Inglés,USA,No,documentación,n,Langdon
337,Diegueño,,Jacobs,Roderick A.,,H,nd,ms,lñaja Diegueño field notes,n,Inglés,USA,No,documentación,n,Langdon
338,Havasupai,,Kozlowski,Edwin,,H,nd,ms,"Havasupai field notes, vols. 1, 2, 3",n,Inglés,USA,No,documentación,n,Langdon
339,Diegueño,,Miller,Amy,,M,nd,ms,Eight Jamul stories told by Gennie Walker.,n,Inglés,USA,No,documentación,n,Langdon
340,Kiliwa,,Mixco,Mauricio J.,,H,nd,ms,Kiliwa field notes: grammatical categories,n,Inglés,USA,No,documentación,n,Langdon
341,Kiliwa,,Mixco,Mauricio J.,,H,nd,ms,Kiliwa field notes: texts,n,Inglés,USA,No,documentación,n,Langdon
342,Pa ipai,,Mixco,Mauricio J.,,H,nd,ms,"Paʔipai [A description of Paipai with many syntactic examples and lexicon, in Spanish].",n,Inglés,USA,No,documentación,n,Langdon
343,Kiliwa,,Mixco,Mauricio J.,,H,nd,ms,"Kiliwa [A description of Kiliwa with many syntactic examples and lexicon, in Spanish].",n,Inglés,USA,No,documentación,n,Langdon
344,Yumanas,,Munro,Pamela,,M,nd,ms,Comparative word lists: yuman,n,Inglés,USA,No,documentación,n,Langdon
345,Diegueño,,Poutous,Arlette,,M,nd,ms,Iipay Aa Material: Barona Reservation Project,"Native speakers: Lenora Baneges and Charlie Maggini.Powskey, Malinda, Lucille J. Watahomigie, and Akira Y. Yamamoto",Inglés,USA,No,documentación,n,Langdon
346,Yavapai,,Shaterian,Alana,,H,nd,ms,Yavapai sentences,n,Inglés,USA,No,documentación,n,Langdon
347,Walapai,,Winter,Werner,,H,nd,ms,Materials for a dictionary of the Walapai language.,n,Inglés,USA,No,documentación,n,Langdon
348,Walapai,,Winter,Werner,,H,nd,ms,Walapai texts.,n,Inglés,USA,No,documentación,n,Langdon
349,Hualapai,,Yamamoto,Akira,"Lucile J. Watahomigie, Malinda Powskey, Jorigine Bender",H,nd,ms,Narrative devices in Hualapai: i:jiki and ki:jiki.,n,Inglés,USA,No,documentación,n,Langdon
350,Mojave,,Kroeber,A. L.,,H,1911,,Phonetic elements of the Mohave language,University of California Publications in American Archaeology and Ethnology 10.45-96.,Inglés,USA,No,fonología,n,Langdon
351,Diegueño,,Kroeber,A. L.,John P. Harrington,H,1914,,Phonetic elements of the Diegueño language,University of California Publications in American Archaeology and Ethnology 11.177-188.,Inglés,USA,No,fonología,n,Langdon
352,Havasupai,,Seiden,William,,H,1963,,Havasupai phonology and morphology.,Indiana University dissertation.,Inglés,USA,No,fonología,morfología,Langdon
353,Pa ipai,,Joël,Judith,,M,1966,,Paipai phonology and morphology,UCLA dissertation,Inglés,USA,Si,fonología,morfología,Langdon
354,Walapai,,Redden,James E.,,H,1966,,Walapai I: phonology,International Journal of American Linguistics 32.1-16.,Inglés,USA,Si,fonología,n,Langdon
355,Diegueño,,Harries,Helga,,M,1967,ms,Phonemic analysis of Diegueño,n,Inglés,USA,No,fonología,n,Langdon
356,Yumanas,,Wares,Alan C.,,H,1968,,A comparative Study of Yuman Consonantism,Janua Linguarum series practica 57. The Hague: Mouton.,Inglés,USA,Si,fonología,n,Langdon
357,Kiliwa,,Mixco,Mauricio J.,,H,1970,ms,Consonantal symbolism in Kiliwa,n,Inglés,USA,No,fonología,n,Langdon
358,Diegueño,,Langdon,Margaret,,M,1971,,Sound symbolism in Yuman languages,"Studies in American Indian Languages, ed. by Jesse Sawyer 149-173. University of California Publications in Linguistics 65.",Inglés,USA,No,fonología,n,Langdon
359,Yavapai,,Shaterian,Alana,,H,1971,ms,Yavapai phonology.,"Hokan Studies: Papers from the First Conference on Hokan Languages,ed. by Margaret Langdon and Shirley Silver 87-94. (Janua Linguarum, Series Practica 181). Chicago: Universityof Chicago Press.",Inglés,USA,No,fonología,n,Langdon
360,Mojave,,Munro,Pamela,,M,1972,ms,The Proto-Yuman p-v-w question: the problem reexamined with evidence from Mojave.,n,Inglés,USA,No,fonología,n,Langdon
361,Yumanas,,Langdon,Margaret,,M,1975,,Boundaries and lenition in Yuman languages,n,Inglés,USA,Si,fonología,n,Langdon
362,Yuma,,Norwood,Susan,,M,1975,ms,ly in Kwitsaan.,n,Inglés,USA,No,fonología,n,Langdon
363,Havasupai,,Kozlowski,Edwin,,H,1976,,Remarks on Havasupai phonology,International Journal of American Linguistics 42. 140-149.,Inglés,USA,Si,fonología,n,Langdon
364,Yumanas,,Langdon,Margaret,,M,1976,,The Proto-Yuman vowel system,"Hokan Studies: Papers from the first conference on Hokan languages, ed.by Margaret Langdon and Shirley Silver 129-148 (Janua Llnguarum, Series Pratica 181). The Hague: Mouton.",Inglés,USA,Si,fonología,n,Langdon
365,Yumanas,,Langdon,Margaret,,M,1976,,Metathesis in Yuman languages,Language 52.866-883.,Inglés,USA,Si,fonología,n,Langdon
366,Kiliwa,,Mixco,Mauricio J.,,H,1976,,Historical implications of some Kiliwa phonological rules,"Hokan Studies: Papers from the first conference on Hokan languages, ed. by Margaret Langdon and Shirley Silver 140-158 (Janua Linguarum, Series Practica 181 ). The Hague: Mouton.",Inglés,USA,No,fonología,n,Langdon
367,Yavapai,,Shaterian,Alana,,H,1976,,Yavapai [ +sonorant] segments,"Hokan Studies: Papers from the First Conference on Hokan Languages, ed. by Margaret Langdon and Shirley Silver 87-94. (Janua Linguarum, Series Practica 181). Chicago: Universityof Chicago Press.",Inglés,USA,No,fonología,n,Langdon
368,Yavapai,,Shaterian,Alana,,H,1976,,No more schwa for Yavapai,"Proceedings of the first Yuman languages workshop, ed. by James E. Redden 129-133. (University Museum Studies 7). Carbondale: Southern Illinois University.",Inglés,USA,Si,fonología,n,Langdon
369,Yumanas,,Langdon,Margaret,,M,1977,,"Stress, length, and pitch in Yuman languages.","Studies in stress and accent, ed. by Larry Hyman 239-259 (Southern California Occasional Papers in Linguistics 4).",Inglés,USA,Si,fonología,n,Langdon
370,Kiliwa,,Mixco,Mauricio J.,,H,1977,,The innovation of /h hw/ in Kiliwa,International Journal of American Linguistics 43.167-176.,Inglés,USA,Si,fonología,n,Langdon
371,Tolkapaya,"Havasupai, Walapai, Yavapai, Pai ipai",Hardy,Heather K.,,M,1979,,The development of the Pai vowel system.,"Proceedings of the 1978 Hokan languages workshop, ed. By James E. Redden 21-41 (Occasional papers on Linguistics 5). Department of Linguistics, Southern Illinois University Carbondale",Inglés,USA,Si,fonología,n,Langdon
372,Mojave,,Hinton,Leanne,,M,1979,,Iritaba's gift: A closer look at the the ʂ> s > θ soundshift in Mojave and Northern Pai,Journal of California and Great Basin Ahtropology -- Papers in Linguisitics 1.3-38,Inglés,USA,No,fonología,n,Langdon
373,Yavapai,,Shaterian,Alana,,H,1979,ms,Yavapai vocalic affixes,n,Inglés,USA,No,fonología,morfología,Langdon
374,Tolkapaya,,Hardy,Heather K.,,M,1980,,The story of /o/ in Tolkapaya: A problem of homophony.,"Proceedings of the 1979 Hokan languages workshop ed. By James E. Redden 53-59 (Occasional Papers on Linguistics 7). Departament of Linguistics, Souther Illinois University Carbondale",Inglés,USA,Si,fonología,n,Langdon
375,Havasupai,,Hinton,Leanne,,M,1980,,When sounds go wild: Phonological change and syntactic re-analysis in Havasupai.,Language 56.320-344.,Inglés,USA,No,fonología,sintaxis,Langdon
376,Yavapai,,Shaterian,Alana,,H,1980,ms,Yavapai consonantism,n,Inglés,USA,No,fonología,n,Langdon
377,Yumanas,,Hinton,Leanne,,M,1981,,Upland Yuman sibilants: The beginning of the story,Journal of California and Great Basin Anthropology Papers on Linguistics 3.65-75.,Inglés,USA,No,fonología,n,Langdon
378,Yumanas,,Munro,Pamela,,M,1981,,Vowel-initial roots in Yuman.,"Proceedings of the 1981 Hokan languages workshop and Penutian languages conference, ed. by James E. Redden 24-36. (Occasional Papers on Linguistics 10). Department of Linguistics, Southern Illinois University Carbondale.",Inglés,USA,Si,fonología,n,Langdon
379,Yumanas,,Shaterian,Alana,,H,1982,ms,Pre-Proto-Yuman phonology,n,Inglés,USA,No,fonología,n,Langdon
380,Yavapai,,Shaterian,Alana,,H,1983,,Phonology and Dictionary of Yavapai.,UC Berkeley dissertation.,Inglés,USA,No,fonología,lexicosemántico,Langdon
381,Pa ipai,,Miller,Amy,,M,1986,ms,The Paipai vowel system,n,Inglés,USA,No,fonología,n,Langdon
382,Yumanas,,Hinton,Leanne,,M,1989,,Symbols for the sounds of California,News from Native California 2.6.26-29,Inglés,USA,No,fonología,n,Langdon
383,Yumanas,,Langdon,Margaret,,M,1989,,Vowel ablaut and its functions in Yuman,"General and Amerindian Ethnolinguistics, In Remembrance of Stanley Newman, ed. by Mary Ritchie Key and Henry M. Hoenlgswald 219-228. Berlin-New York: Mouton de Gruyter.",Inglés,USA,Si,fonología,n,Langdon
384,Tolkapaya,,Munro,Pamela,,M,1990,,Aspiration in Tolkapaya Yavapai.,"Proceedings of the 1990 Hokan-Penutian languages workshop, ed. By James E. Redden 154-162 (Occasional Papers on Linguistics 15). Department of Linguistics, Southern Illinois University Carbondale.",Inglés,USA,Si,fonología,n,Langdon
385,Yumanas,Takicas,Hinton,Leanne,,M,1991,,Takic and Yuman: a study in language convergence,International Journal of American Linguistics57.133-157,Inglés,USA,Si,fonología,n,Langdon
386,Yavapai,,Thomas,Kimberly Diane,,M,1992,,Vowel length in Yavapai revisited,"Papers from the 1992 Hokan-Penutian languages conference and the J.P. Hanington conference at UCSB & Museum of Natural History, Santa Barbara, ed. by James E. Redden 90-131. (Occasional Papers on Linguistics 17). Department of Linguistics, University of Illinois at Carbondale",Inglés,USA,Si,fonología,n,Langdon
387,Yavapai,,Thomas,Kimberly Diane,Alan Shaterian,M,1992,,Vowel length and pitch in Yavapai,"Proceedings of the 1990 Hokan-Penutian languages workshop, ed. By James Redden 144-153. (Occasional Papers on Linguistics 15). Department of Linguistics, Southern Illinois University at Carbondale.",Inglés,USA,Si,fonología,n,Langdon
388,Yumanas,,Gil Burgoin,Carlos Ivanhoe,,H,2014,,Reconstrucción del sistema consonántico del protoyumano de California y delta del Colorado,"Cuadernos de Lingüística de El Colegio de México, 2. Pp. 195-238",Español,México,No,fonología,n,propio
389,Pa ipai,,Ibáñez Bravo,María Elena,,M,2015,,Descripción fonológica de la lengua pa'ipá:y.,"Thesis, ENAH, Mexico City.",Español,México,Si,fonología,n,bajacalifology
390,Kumiay,,Gil Burgoin,Carlos Ivanhoe,,H,2016,,"Problemas fonológicos del kumiai: segmentos, sílabas y acento",Tesis doctoral. El Colegio de México. Centro de estudios lingüísticos y literarios,Español,México,Si,fonología,n,propio
391,Pa ipai,,Ibáñez Bravo,María Elena,,M,2017,,Descripción del estatus fonológico de los segmentos [ i? ] y [ u? ] de la lengua pa?ipá:y,"Cuadernos de Lingüística de El Colegio de México, 4 (2017), núm. 1, 181-209. Fonética y Fonología. Lenguas Mexicanas: Paipai.",Español,México,Si,fonología,n,lingmex
392,Kumiay,,Gil Burgoin,Carlos Ivanhoe,,H,2018,,Interacción de restricciones y legitimación del rasgo laríngeo glotal en kumiai,En Esther Herrera & Verónica Reyes. 2018. Fonología segmental: procesos e interacciones. México: El Colegio de México,Español,México,No,fonología,n,propio
393,Mojave,"Yuma, Diegueño",Hewitt,J. N. B,,S,1898,,Comparative lexicography,"Seri Indians, by W. J. McGee (RBAE 17), 299-344 Washington D. C.: Government Printing Office [Includes vocabularies of the Yuman languages Mojave, 'Kutchan' (Yuma), and Diegueño].",Inglés,USA,No,lexicosemántico,n,Langdon
394,Diegueño,,León,Nicolás,,H,1903,,Los comanches y el dialecto Cahuillo de la Baja California,"Anales del museo nacional, Mexico, primera serie, 7.263- 278. [Contains a word list in Southern Diegueño, collected by Peiiafiel in Baja California, and mistakenly identified as Cahuilla.)",Español,México,No,lexicosemántico,n,Langdon
395,Yumanas,,Kroeber,A. L.,,H,1917,,California kinship systems.,University of California Publications in American Archaeology and Ethnology 12.340-396. [Includes kinship terms for Mohave.],Inglés,USA,No,lexicosemántico,n,Langdon
396,Yumanas,,Kroeber,A. L.,,H,1931,,The Seri,"Southwestern Museum Papers 6. Los Angeles: Southwest Museum. [Cochimi, Yuma, and Cocopa word lists, presented for comparision with Seri.]",Inglés,USA,No,lexicosemántico,n,Langdon
397,Walapai,,Kroeber,A. L.,,H,1935,,Walapai ethnography,American Anthropological Association Memoirs 42. [Contains some lexical items.],Inglés,USA,No,lexicosemántico,n,Langdon
398,Yuma,,Halpern,A. M.,,H,1942,,Yuma kinship terms,American Anthropologist 44.425-441,Inglés,USA,Si,lexicosemántico,n,Langdon
399,Yumanas,,Voorhees,J. E.,,S,1959,,The formal analysis and comparison of Yuman kinship systems,Stanford University thesis,Inglés,USA,No,lexicosemántico,n,Langdon
400,Yumanas,,Law,H. W.,,S,1961,,A reconstructed proto-culture derived from some Yuman vocabularies,Anthropological Linguistics 3. 4.45-57.,Inglés,USA,Si,lexicosemántico,n,Langdon
401,Pa ipai,,Owen,Roger,,H,1963,,"The use of plants and non-magical techniques in curing illness among the Paipai, Santa Catarina, Baja California, Mexico",América Indígena 23:319-344.,Inglés,USA,Si,lexicosemántico,n,bajacalifology
402,Yumanas,,Romney,A. Kimball,,H,1967,,Internal reconstruction of Yuman kinship terminology,"Studies in Southwestern ethnolinguistics, ed. By Dell H. Hymes and William B. Bittle 379-386. The Hague: Mouton.",Inglés,USA,No,lexicosemántico,n,Langdon
403,Hualapai,,Watahomigie,Lucille J.,,M,1967,,Hualapai dictionary.,"Peach Springs, AZ: Hualapai Bilingual Program",Inglés,USA,No,lexicosemántico,n,Langdon
404,Pa ipai,,Kaufman,Terrence,A. V. Shaterian,H,1974,ms,English-Paipai vocabulary,n,Inglés,USA,No,lexicosemántico,n,Langdon
405,Mojave,,Munro,Pamela,,M,1974,ms,Nominalization and the Mojave perfective,n,Inglés,USA,No,lexicosemántico,sintaxis,Langdon
406,Diegueño,,Hinton,Leanne,,M,1975,,Notes on La Huerta Diegueño ethnobotany,Journal of California Anthropology 2. 214-222,Inglés,USA,No,lexicosemántico,n,Langdon
407,Maricopa,,Harwell,Henry O,,H,1976,,The 'Say' auxiliary in Maricopa: Some notes and speculations.,"Proceedings of the first Yuman languages workshop, ed. By James E. Redden 63-70 (University Museum Studies 7). Carbondale: Southern Illinois University",Inglés,USA,Si,lexicosemántico,sintaxis,Langdon
408,Havasupai,,Kozlowski,Edwin,,H,1976,,Havasupai comparatives,"Proceedings of the first Yuman languages workshop, ed. by James E. Redden 93-97 (University Museum Studies 7). Carbondale: Southern Dlinois University.",Inglés,USA,Si,lexicosemántico,n,Langdon
409,Yumanas,,Kendall,Martha B.,,M,1977,,The Upland Yuman numeral system,"Proceedings of the 1976 Hokan-Yuman languages workshop, ed. By James E. Redden 17-28. (University Museum Studies 11). Carbondale: Southern Illinois University.",Inglés,USA,Si,lexicosemántico,n,Langdon
410,Cochimi,,Mixco,Mauricio J.,,H,1977,,J.P. Harrington's Cochimi vocabularies,Journal of California Anthropology 4:42-50,Inglés,USA,Si,lexicosemántico,n,Langdon
411,Yumanas,,Webb,Nancy M.,,M,1977,,Yuman language interrelationships: The lexical evidence.,"Proceedings of the 1976 Hokan-Yuman languages workshop, ed. by James E. Redden 60-68 (University Museum Studies 11). Carbondale: Southern Illinois University.",Inglés,USA,Si,lexicosemántico,n,Langdon
412,Pa ipai,,Joël,Judith,,M,1978,,The Yuman word for 'bean' as a clue to prehistory.,n,Inglés,USA,Si,lexicosemántico,n,Langdon
